Participant,Exercise,Set,Target Reps,Total Attempts,Correct Reps,Incorrect Reps,Participant,Exercise,Set,Total Reps,Correct Reps,Incorrect Reps,Notes,
P19,Squat,1,5,5,5,0,P19,Squat,1,5,3,2,,
P19,Squat,2,5,5,,0,P19,Squat,2,5,5,0,,
P19,Squat,3,5,5,5,0,P19,Squat,3,5,5,0,,
P20,Hammer Curl,1,8,8,8,0,P20,Hammer Curl,1,17,17,0,,
P20,Hammer Curl,2,8,8,8,0,P20,Hammer Curl,2,8,8,0,,
P20,Hammer Curl,3,8,9,8,1,P20,Hammer Curl,3,10,10,0,,
P20,Push-up,1,5,6,5,1,P20,Push-up,1,6,6,0,,
P20,Push-up,2,5,6,5,1,P20,Push-up,2,6,6,0,,
P20,Squat,1,10,10,10,0,P20,Squat,1,10,10,0,,
P20,Squat,2,10,10,10,0,P20,Squat,2,10,10,0,,
P20,Squat,3,10,10,10,0,P20,Squat,3,11,11,0,,
P20,Lateral Raise,1,8,9,8,1,P20,Lateral Raise,1,8,8,0,,
P20,Lateral Raise,2,8,8,8,0,P20,Lateral Raise,2,7,7,0,,
P21,Hammer Curl,1,10,12,10,2,P21,Hummer Curl,1,10,10,0,,
P21,Hammer Curl,2,10,11,10,1,P21,Hummer Curl,2,10,10,0,,
P21,Squat,1,10,1,0,1,P21,Squats,1,10,10,0,,
P21,Squat,2,10,4,1,3,P21,Squats,2,11,11,0,,
P21,Lateral Raise,1,10,10,10,0,P21,Lateral Raises,1,11,11,0,,
P21,Lateral Raise,2,10,10,10,0,P21,Lateral Raises,2,11,11,0,,
P21,Leg Raises,1,5,7,5,2,P21,Leg Raises,1,5,5,0,,
P21,Leg Raises,2,5,7,5,2,P21,Leg Raises,2,5,5,0,,
P21,Chest Fly Machine,1,10,17,8,9,P21,Chest Fly Machine,1,10,10,0,,
P21,Chest Fly Machine,2,8,10,8,2,P21,Chest Fly Machine,2,9,9,0,,
