Participant,Exercise,Exercise Key,Set,Robot CSV Row,Video CSV Row,Target Reps,Robot Total Attempts,Video Total Reps,Robot Correct Reps,Video Correct Reps,Robot Incorrect Reps,Video Incorrect Reps,Notes,Correct Rep Error,Correct Rep Absolute Error,Total Attempt Error,Total Attempt Absolute Error
P3,Lateral Raise,lateral raise,3,14,14,10.0,10.0,10.0,10.0,10.0,0.0,0.0,,0.0,0.0,0.0,0.0
P3,Squat,squat,1,9,9,10.0,10.0,10.0,10.0,10.0,0.0,0.0,,0.0,0.0,0.0,0.0
P3,Squat,squat,2,10,10,10.0,11.0,11.0,10.0,11.0,1.0,0.0,,-1.0,1.0,0.0,0.0
P3,Squat,squat,3,11,11,10.0,11.0,10.0,10.0,10.0,1.0,0.0,,0.0,0.0,1.0,1.0
P3,Tricep Pushdown,tricep pushdown,1,15,15,10.0,14.0,10.0,10.0,10.0,4.0,0.0,,0.0,0.0,4.0,4.0
P3,Tricep Pushdown,tricep pushdown,2,16,16,10.0,11.0,11.0,10.0,11.0,1.0,0.0,,-1.0,1.0,0.0,0.0
P3,Tricep Pushdown,tricep pushdown,3,17,17,10.0,10.0,8.0,10.0,8.0,0.0,0.0,,2.0,2.0,2.0,2.0
P4,Chest Fly Machine,chest fly machine,1,39,39,8.0,13.0,15.0,8.0,12.0,5.0,3.0,,-4.0,4.0,-2.0,2.0
P4,Chest Fly Machine,chest fly machine,2,40,40,8.0,10.0,14.0,8.0,12.0,2.0,2.0,,-4.0,4.0,-4.0,4.0
P4,Hammer Curl,hammer curl,1,25,25,12.0,12.0,12.0,12.0,12.0,0.0,0.0,,0.0,0.0,0.0,0.0
P4,Hammer Curl,hammer curl,2,26,26,12.0,12.0,11.0,12.0,11.0,0.0,0.0,,1.0,1.0,1.0,1.0
P4,Hammer Curl,hammer curl,3,27,27,12.0,12.0,12.0,12.0,12.0,0.0,0.0,,0.0,0.0,0.0,0.0
P4,Lateral Raise,lateral raise,1,28,28,10.0,16.0,10.0,10.0,10.0,6.0,0.0,,0.0,0.0,6.0,6.0
P4,Lateral Raise,lateral raise,2,29,29,10.0,10.0,9.0,10.0,9.0,0.0,0.0,,1.0,1.0,1.0,1.0
P4,Leg Extension,leg extension,1,45,45,8.0,9.0,12.0,8.0,12.0,1.0,0.0,,-4.0,4.0,-3.0,3.0
P4,Leg Extension,leg extension,2,46,46,8.0,9.0,10.0,8.0,10.0,1.0,0.0,,-2.0,2.0,-1.0,1.0
P4,Leg Extension,leg extension,3,47,47,8.0,8.0,10.0,8.0,10.0,0.0,0.0,,-2.0,2.0,-2.0,2.0
P4,Leg Raises,leg raises,2,31,31,8.0,11.0,12.0,8.0,12.0,3.0,0.0,,-4.0,4.0,-1.0,1.0
P4,Leg Raises,leg raises,3,32,32,8.0,13.0,13.0,8.0,13.0,5.0,0.0,,-5.0,5.0,0.0,0.0
P4,Push-up,push-up,1,20,20,12.0,22.0,8.0,2.0,0.0,20.0,8.0,,2.0,2.0,14.0,14.0
P4,Push-up,push-up,2,21,21,12.0,7.0,5.0,0.0,0.0,7.0,5.0,,0.0,0.0,2.0,2.0
P4,Russian Twist,russian twist,1,33,33,10.0,12.0,29.0,10.0,29.0,2.0,0.0,,-19.0,19.0,-17.0,17.0
P4,Russian Twist,russian twist,2,34,34,10.0,10.0,44.0,10.0,44.0,0.0,0.0,,-34.0,34.0,-34.0,34.0
P4,Russian Twist,russian twist,3,35,35,10.0,10.0,45.0,10.0,45.0,0.0,0.0,,-35.0,35.0,-35.0,35.0
P4,Squat,squat,1,22,22,15.0,17.0,23.0,12.0,15.0,5.0,8.0,,-3.0,3.0,-6.0,6.0
P4,Squat,squat,2,23,23,15.0,15.0,15.0,15.0,15.0,0.0,0.0,,0.0,0.0,0.0,0.0
P4,T-Bar Row,t-bar row,1,42,42,8.0,25.0,5.0,8.0,5.0,17.0,0.0,,3.0,3.0,20.0,20.0
P4,T-Bar Row,t-bar row,2,43,43,8.0,11.0,9.0,8.0,9.0,3.0,0.0,,-1.0,1.0,2.0,2.0
P4,T-Bar Row,t-bar row,3,44,44,8.0,12.0,10.0,8.0,10.0,4.0,0.0,,-2.0,2.0,2.0,2.0
